id,name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,Arsenal,5,1350,1365,1370,1370,1330,1360
2,Aston Villa,4,1160,1285,1140,1220,1180,1350
3,Bournemouth,3,1100,1100,1055,1130,1145,1075
4,Brentford,3,1100,1100,1110,1055,1090,1150
5,Brighton,3,1100,1210,1070,1180,1135,1240
6,Burnley,2,1045,1050,1050,1050,1040,1050
7,Chelsea,3,1125,1190,1080,1150,1170,1230
8,Crystal Palace,3,1070,1100,1080,1120,1060,1085
9,Everton,3,1095,1100,1125,1125,1065,1080
10,Fulham,3,1055,1175,1050,1180,1060,1170
11,Liverpool,4,1240,1370,1210,1350,1270,1390
12,Luton,2,1055,1090,1020,1060,1090,1120
13,Man City,5,1355,1365,1350,1360,1360,1370
14,Man Utd,3,1125,1220,1130,1210,1120,1230
15,Newcastle,3,1105,1280,1050,1210,1160,1355
16,Nott'm Forest,3,1065,1100,1050,1125,1080,1080
17,Sheffield Utd,2,1030,1040,1045,1020,1020,1060
18,Spurs,4,1170,1230,1110,1150,1230,1310
19,West Ham,3,1100,1145,1055,1140,1150,1150
20,Wolves,3,1100,1100,1085,1105,1115,1100
