id,team_a,team_h,team_a_score,team_h_score,team_a_difficulty,team_h_difficulty
283,4,6,1.0,2.0,2,2
287,16,12,1.0,1.0,2,2
286,18,10,0.0,3.0,3,3
289,2,19,1.0,1.0,3,3
297,19,15,3.0,4.0,4,2
292,9,3,0.0,1.0,2,2
294,6,7,1.0,1.0,3,2
298,8,16,1.0,1.0,2,2
299,10,17,1.0,2.0,2,2
300,12,18,1.0,1.0,4,2
